name,id,stripped_tweet,time
EuroTroll_GR,2197432501,"Ο Αλ. Τσίπρας ξεκινά την ευρωπαϊκή του περιοδεία",1389965224
bloggerstv,399020768,"Τσίπρας: Αδιανόητο να μετακινηθείς στην ΤτΕ - Στουρνάρας: Δεν με αφορούν τα σενάρια",1389965140
WebNewsGreece,383318872,"Παπαδημούλης: Σας έχει πιάσει πανικός: Πυρά εναντίον της κυβέρνησης με αφορμή την διαπλοκή και την…",1389964968
WebNewsGreece,383318872,"«Σύγκρουση» Τσίπρα-Στουρνάρα για ΤΤ και τραπεζικά σκάνδαλα: (VIDEO) Ο Αλ. Τσίπρας κατήγγειλε ότι…",1389964967
mediagategr,327359328,"Παπαδημούλης: Σας έχει πιάσει πανικός",1389964657
psaranto,140776478,"Θα υπογράψει τη συμφωνία ελάφρυνσης του χρέους ο κ.Τσίπρας? ✓ ➥ &amp; πως θα πάμε σε εκλογές by",1389964624
gkefalogiannis,562182659,"Γιατί ο κ. Τσίπρας εξαίρεσε από το κατ´αυτόν τριπολικο σύστημα διαπλοκής (πολιτικούς,τράπεζες,επιχειρηματίες) τους συνδικαλιστές;",1389964473
TsantiriNews,241841245,"Κεδίκογλου: Να αποκαλύψει τους συμμάχους του ο Τσίπρας",1389964397
action24_,1896875864,"Κεδίκολγου:Οι περιθωριακοί σύμμαχοι του κ. Τσίπρα είναι γνωστοί: «Ο κ. Τσίπρας, αποκαλύπτοντας έναν-έναν τους ...",1389964372
alterthess,193199677,"Die Presse: Πώς θα σώσει την ευρωζώνη ο Τσίπρας",1389963967
PolAutonomia,1112351256,"Die Presse: Δεν υπάρχουν αμφιβολίες ότι ο Τσίπρας θα κερδίσει τις εκλογές -",1389963815
petropouli64,892654729,"sarantos petropouli ΙΚΑΡΙΑΣ: ΒΙΝΤΕΟ-Παπαδημούλης: Σας έχει πιάσει πανικός",1389963778
elizabeth_5658,1277484403,"Die Presse: Δεν υπάρχουν αμφιβολίες ότι ο Τσίπρας θα κερδίσει τις εκλογές -Πώς λέει ότι θα σώσει την Ευρώπη . Με μαγικά,υποθέτω...",1389963631
TOPONTIKI,131500587,"«Πώς θα σώσει την ευρωζώνη ο Τσίπρας» - ΤΟ ΠΟΝΤΙΚΙ via",1389963539
onlypaphos,600200235,"Τσίπρας: “Είμαστε πιο φιλοευρωπαίοι από τους Συντηρητικούς”",1389963507
bankingnewsgr,86044761,"Κεδίκογλου (κυβερνητικός εκπρόσωπος) – Ο κ.Τσίπρας αποκαλύπτει τους περιθωριακούς συμμάχους του στην Ευρώπη",1389963449
periodistagr,1401933979,"Αλέξης Τσίπρας: «Πρόεδρος της Δημοκρατίας με κυβέρνηση ΣΥΡΙΖΑ»",1389963441
skaigr,17389650,"Die Presse: «Πώς θα σώσει o Τσίπρας την ευρωζώνη»",1389963432
FilonosFilon,1878826458,"Κεδίκογλου: ""ο κ. Τσίπρας πάει σε εκδήλωση Μαοϊκου-Λενινιστικού-Σοσιαλιστικού κόμματος"". Πιο 50s γίνεσαι αρχιδότριχα του …",1389963377
TasosGkliatis,2160017086,"Τσίπρας-Στουρνάρας: Σύγκρουση για ΤΤ και τραπεζικά σκάνδαλα",1389963003
eldiktyo,32207236,"ΑΙΜΑ ΚΑΙ ΤΙΜΗ Έτσι και κάνει κυβέρνηση ο Τσίπρας!!",1389962596
bankingnewsgr,86044761,"Die Presse: Πώς θα σώσει την Ευρωζώνη ο Αλέξης Τσίπρας; - Ο ΣΥΡΙΖΑ η ισχυρότερη πολιτική δύναμη στην Ελλάδα",1389962334
trendinaliaGR,1370442307,"The tweet with the most impact of the 'Τσίπρας' Trend, was published by (16 s)",1389962253
